n,room,time
1,basic,3.08
1,basic,2.56
1,basic,1.64
1,basic,5.72
3,basic,4.76
3,basic,5.04
3,basic,4.44
3,basic,3.56
5,basic,4.68
5,basic,4.56
5,basic,4.2
5,basic,5.52
7,basic,5.68
7,basic,6.32
7,basic,5.64
7,basic,5.52
9,basic,6.24
9,basic,7.48
9,basic,6.68
9,basic,6.04
11,basic,6.72
99,basic,48.36
99,basic,45.76
99,basic,48.04
99,basic,48.12
97,basic,46.88
97,basic,46.96
97,basic,47.96
97,basic,47.32
95,basic,46.92
95,basic,45.16
95,basic,45.12
95,basic,46.92
93,basic,45.2
93,basic,45.64
93,basic,45.0
93,basic,44.36
91,basic,45.44
91,basic,45.4
91,basic,43.28
91,basic,45.08
89,basic,42.24
89,basic,43.6
89,basic,43.6
89,basic,42.68
87,basic,41.16
87,basic,41.48
87,basic,43.56
87,basic,44.2
85,basic,41.48
85,basic,41.08
85,basic,40.52
